15:30:43 | INFO     | TICK:0000 | GameCore initialized with session ID: 69a43fa8
15:30:46 | INFO     | TICK:0000 | Starting game initialization...
15:30:46 | INFO     | TICK:0000 | Game configuration: {'session_id': '69a43fa8', 'map_size': (200, 200), 'team_count': 2, 'team_size': 5, 'total_tanks': 10, 'friendly_fire': True, 'sudden_death_tick': 100000, 'map_seed': 'road_trees.csv', 'spawn_positions': [(50, 50), (65, 70), (80, 90), (95, 110), (110, 130), (100, 50), (115, 70), (130, 90), (145, 110), (160, 130)]}
15:30:46 | INFO     | TICK:0000 | Loading map with seed: road_trees.csv
15:30:46 | INFO     | TICK:0000 | Loaded map from file: road_trees.csv
15:30:46 | INFO     | TICK:0000 | Spawning tanks: Team A=5, Team B=5
15:30:46 | WARNING  | TICK:0000 | Spawn position (20.0, 15.0) blocked, searching for clear spot
15:30:46 | INFO     | TICK:0000 | Found clear spawn at (35.0, 15.0)
15:30:46 | WARNING  | TICK:0000 | Spawn position (26.0, 19.0) blocked, searching for clear spot
15:30:46 | INFO     | TICK:0000 | Found clear spawn at (52.0, 34.0)
15:30:46 | WARNING  | TICK:0000 | Spawn position (32.0, 23.0) blocked, searching for clear spot
15:30:46 | INFO     | TICK:0000 | Found clear spawn at (45.0, 15.5)
15:30:46 | WARNING  | TICK:0000 | Spawn position (38.0, 27.0) blocked, searching for clear spot
15:30:46 | INFO     | TICK:0000 | Found clear spawn at (64.0, 42.0)
15:30:46 | WARNING  | TICK:0000 | Spawn position (44.0, 31.0) blocked, searching for clear spot
15:30:46 | INFO     | TICK:0000 | Found clear spawn at (51.5, 44.0)
15:30:46 | WARNING  | TICK:0000 | Spawn position (125.0, 15.0) blocked, searching for clear spot
15:30:46 | INFO     | TICK:0000 | Found clear spawn at (140.0, 15.0)
15:30:46 | WARNING  | TICK:0000 | Spawn position (131.0, 19.0) blocked, searching for clear spot
15:30:46 | INFO     | TICK:0000 | Found clear spawn at (131.0, 49.0)
15:30:46 | WARNING  | TICK:0000 | Spawn position (143.0, 27.0) blocked, searching for clear spot
15:30:46 | INFO     | TICK:0000 | Found clear spawn at (140.0, 53.0)
15:30:46 | WARNING  | TICK:0000 | Spawn position (145.0, 31.0) blocked, searching for clear spot
15:30:46 | INFO     | TICK:0000 | Found clear spawn at (140.0, 61.0)
15:30:46 | INFO     | TICK:0000 | Successfully spawned 10 tanks
15:30:46 | INFO     | TICK:0000 | Connecting to agent servers...
15:30:47 | WARNING  | TICK:0000 | Failed to connect to agent for tank_1_1: timed out
15:30:47 | WARNING  | TICK:0000 | Failed to connect to agent for tank_1_2: timed out
15:30:48 | WARNING  | TICK:0000 | Failed to connect to agent for tank_1_3: timed out
15:30:48 | WARNING  | TICK:0000 | Failed to connect to agent for tank_1_4: timed out
15:30:49 | WARNING  | TICK:0000 | Failed to connect to agent for tank_1_5: timed out
15:30:49 | WARNING  | TICK:0000 | Failed to connect to agent for tank_2_1: timed out
15:30:50 | WARNING  | TICK:0000 | Failed to connect to agent for tank_2_2: timed out
15:30:51 | WARNING  | TICK:0000 | Failed to connect to agent for tank_2_3: timed out
15:30:51 | WARNING  | TICK:0000 | Failed to connect to agent for tank_2_4: timed out
15:30:52 | WARNING  | TICK:0000 | Failed to connect to agent for tank_2_5: timed out
15:30:52 | INFO     | TICK:0000 | Connected to 0/10 agents
15:30:52 | WARNING  | TICK:0000 | Agent loading failed - continuing without agents
15:30:52 | INFO     | TICK:0000 | Game initialization completed successfully
15:31:01 | INFO     | TICK:0000 | Game loop started
15:31:01 | DEBUG    | TICK:0001 | Tick 1 started
15:31:11 | DEBUG    | TICK:0001 | Team 1 has 5 tanks alive
15:31:11 | DEBUG    | TICK:0001 | Team 2 has 5 tanks alive
15:31:11 | DEBUG    | TICK:0001 | Team 1 has 5 tanks alive
15:31:11 | DEBUG    | TICK:0001 | Team 2 has 5 tanks alive
15:31:11 | DEBUG    | TICK:0002 | Tick 2 started
